DENOMINATION;Code;INF4;HYD3;ENS4
AUTRES OBSTABLES - BRIQUETAGE OU MACONNERIE GISANT SUR LE RADIER;BBEA;0;45;45
AUTRES OBSTABLES - FRAGMENT DE CONDUITE BRISEE GISANT SUR LE RADIER;BBEB;0;45;45
AUTRES OBSTACLES - OBJET SUR LE RADIER;BBEC;0;45;45
AUTRES OBSTABLES - OBSTACLE DEPASSANT DE LA PAROI;BBED;0;45;45
AUTRES OBSTACLES - OBSTACLE COINCE DANS L'ASSEMBLAGE;BBEE;0;45;45
AUTRES OBSTABLES - OBSTACLE TRAVERSANT UN RACCORDEMENT OU UNE CONDUITE DE RACCORDEMENT;BBEF;0;45;45
AUTRES OBSTACLES - CONDUITE EXTERNE OU CABLES INSERES DANS LA CANALISATION;BBEG;0;45;45
AUTRES OBSTABLES - OBSTACLE INTEGRE A LA STRUCTURE;BBEH;0;45;45
AUTRES OBSTACLES - AUTRE;BBEZ;0;45;45
INFILTRATION - SUINTEMENT;BBFA;45;0;0
INFILTRATION - GOUTTE A GOUTTE;BBFB;45;0;0
INFILTRATION - ECOULEMENT CONTINU;BBFC;135;0;0
INFILTRATION - JAILLISSEMENT;BBFD;135;0;0
RACCORDEMENT - CULOTTE;BCAA;0;0;0
RACCORDEMENT - SELLE - CAROTTEE;BCAB;9;0;0
RACCORDEMENT - SELLE - BURINEE;BCAC;9;0;0
RACCORDEMENT - PIQUAGE DIRECT - CAROTTE;BCAD;9;0;0
RACCORDEMENT - PIQUAGE DIRECT - BURINE;BCAE;9;0;0
RACCORDEMENT - RACCORD AUTRE QUE CULOTTE;BCAF;0;0;0
RACCORDEMENT - TYPE DE RACCORD INCONNU;BCAG;0;0;0
RACCORDEMENT - AUTRE TYPE DE RACCORDEMENT;BCAZ;0;0;0
COURBURE COLLECTEUR;BCC;0;135;135
COURBURE COLLECTEUR - VERS LA GAUCHE;BCCA;0;135;135
COURBURE COLLECTEUR - VERS LA GAUCHE - VERS LE HAUT;BCCAA;0;135;135
COURBURE COLLECTEUR - VERS LA GAUCHE - VERS LE BAS;BCCAB;0;135;135
COURBURE COLLECTEUR - VERS LA DROITE;BCCB;0;135;135
COURBURE COLLECTEUR - VERS LA DROITE - VERS LE HAUT;BCCBA;0;135;135
COURBURE COLLECTEUR - VERS LA DROITE - VERS LE BAS;BCCBB;0;135;135
CONTRE PENTE;D;45;15;45
EFFONDREMENT PARTIEL;DACB;135;0;0
RADICELLES;DBAB;5;5;5
ENSEMBLE COMPLEXE DE RACINES;DBAC;5;45;45
DEPOTS -  GROSSIERS;DBCB;0;5;5
AUTRES OBSTACLES - CONDUITE EXTERNE OU CABLES INSERES DANS LA CANALISATION;DBEG;0;5;5
